Time (s),Channel 1 (V),Channel 2 (V)
0.080775,1.548731322329825,0.6342851507756304
0.0807875,1.549407077462022,0.6339465224468072
0.0808,1.549744955028121,0.6339465224468072
0.0808125,1.550758587726417,0.6339465224468072
0.080825,1.550758587726417,0.6339465224468072
0.0808375,1.551434342858614,0.6342851507756304
0.08085,1.551772220424712,0.6342851507756304
0.0808625,1.552110097990811,0.6342851507756304
0.080875,1.552110097990811,0.6339465224468072
0.0808875,1.552447975556909,0.6339465224468072
0.0809,1.553461608255205,0.6342851507756304
0.0809125,1.553799485821303,0.6339465224468072
0.080925,1.554137363387402,0.6342851507756304
0.0809375,1.554475240953501,0.6342851507756304
0.08095,1.554813118519599,0.6342851507756304
0.0809625,1.555488873651796,0.6342851507756304
0.080975,1.555488873651796,0.6342851507756304
0.0809875,1.556164628783993,0.6346237791044536
0.081,1.556164628783993,0.6342851507756304
0.0810125,1.556840384,0.6342851507756304
0.081025,1.557178261482289,0.6342851507756304
0.0810375,1.557854016614486,0.6342851507756304
0.08105,1.558529771746683,0.6342851507756304
0.0810625,1.558529771746683,0.6346237791044536
0.081075,1.559205527,0.6346237791044536
0.0810875,1.559205527,0.6346237791044536
0.0811,1.559205527,0.6346237791044536
0.0811125,1.559543404444979,0.6346237791044536
0.081125,1.560557037143274,0.6346237791044536
0.0811375,1.560894914709373,0.6342851507756304
0.08115,1.561232792275471,0.6346237791044536
0.0811625,1.56157067,0.6346237791044536
0.081175,1.561908547407668,0.6342851507756304
0.0811875,1.562246424973767,0.6346237791044536
0.0812,1.562922180105964,0.6342851507756304
0.0812125,1.563260057672063,0.6346237791044536
0.081225,1.563597935238161,0.6346237791044536
0.0812375,1.563935813,0.6346237791044536
0.08125,1.564273690370358,0.6346237791044536
0.0812625,1.564949445502555,0.6346237791044536
0.081275,1.565963078200851,0.6346237791044536
0.0812875,1.565963078200851,0.6346237791044536
0.0813,1.566300955766949,0.6346237791044536
0.0813125,1.566638833333048,0.6346237791044536
0.081325,1.566300955766949,0.6342851507756304
0.0813375,1.566638833333048,0.6346237791044536
0.08135,1.567652466031344,0.6346237791044536
0.0813625,1.568328221163541,0.6346237791044536
0.081375,1.568328221163541,0.6349624074332768
0.0813875,1.569003976295738,0.6349624074332768
0.0814,1.569003976295738,0.6346237791044536
0.0814125,1.570355486560132,0.6349624074332768
0.081425,1.570355486560132,0.6349624074332768
0.0814375,1.570693364,0.6349624074332768
0.08145,1.571369119258428,0.6349624074332768
0.0814625,1.571369119258428,0.6349624074332768
0.081475,1.571706996824526,0.6349624074332768
0.0814875,1.572044874390625,0.6349624074332768
0.0815,1.572720629522822,0.6349624074332768
0.0815125,1.573396384655019,0.6349624074332768
0.081525,1.573734262221117,0.6349624074332768
0.0815375,1.573734262221117,0.6349624074332768
0.08155,1.573734262221117,0.635301036
0.0815625,1.573734262221117,0.635301036
0.081575,1.574410017353314,0.635301036
0.0815875,1.574747894919413,0.635301036
0.0816,1.57542365,0.6349624074332768
0.0816125,1.576099405183807,0.6349624074332768
0.081625,1.575761527617709,0.635301036
0.0816375,1.576437282749906,0.635301036
0.08165,1.577113037882103,0.6349624074332768
0.0816625,1.577788793,0.635301036
